ID of herb pairs,herb pairs
0,苦杏仁 麻黄
1,草豆蔻 吴茱萸
2,甘草 干姜
3,甘草 桂枝
4,白术 人参
5,黄芪 人参
6,桂枝 麻黄
7,附子 干姜
8,杜仲 续断
9,当归 肉桂
10,白术 肉桂
11,附子 生姜
12,川芎 羌活
13,补骨脂 人参
14,附子 肉桂
15,麻黄 肉桂
16,肉桂 石菖蒲
17,草乌 小茴香
18,补骨脂 杜仲
19,杜仲 五味子
20,杜仲 菟丝子
21,巴戟天 菟丝子
22,菟丝子 五味子
23,枸杞子 菟丝子
24,桂枝 吴茱萸
25,当归 附子
26,人参 吴茱萸
27,茯苓 吴茱萸
28,花椒 吴茱萸
29,当归 吴茱萸
30,吴茱萸 五味子
31,附子 桂枝
32,干姜 桂枝
33,桂枝 薤白
34,桂枝 黄芪
35,附子 麻黄
36,吴茱萸 细辛
37,花椒 小茴香
38,附子 细辛
39,肉桂 小茴香
40,薄荷 防风
41,防风 葛根
42,葛根 荆芥
43,柴胡 甘草
44,薄荷 荆芥
45,大黄 黄连
46,黄芩 栀子
47,知母 黄柏
48,升麻 黄连
49,芦根 白茅根
50,龙胆 栀子
51,黄连 龙胆
52,苦参 龙胆
53,连翘 木通
54,黄连 木通
55,黄柏 黄连
56,大黄 栀子
57,黄连 栀子
58,黄连 黄芩
59,胡黄连 黄连
60,金银花 夏枯草
61,金银花 蒲公英
62,甘草 金银花
63,板蓝根 甘草
64,板蓝根 紫草
65,菊花 紫花地丁
66,射干 升麻
67,甘草 菊花
68,白芷 大黄
69,大黄 金银花
70,大青叶 黄连
71,甘草 夏枯草
72,黄芩 升麻
73,大黄 黄芩
74,麦冬 玄参
75,石斛 玄参
76,生地黄 玄参
77,大青叶 生地黄
78,地骨皮 生地黄
79,黄连 麦冬
80,黄连 生地黄
81,钩藤 紫草
82,苍术 黄柏
83,独活 黄柏
84,厚朴 黄连
85,苍术 地榆
86,黄连 苦参
87,黄柏 苦参
88,麻黄 苦杏仁
89,吴茱萸 草豆蔻
90,干姜 甘草
91,桂枝 甘草
92,人参 白术
93,人参 黄芪
94,麻黄 桂枝
95,干姜 附子
96,续断 杜仲
97,肉桂 当归
98,肉桂 白术
99,生姜 附子
100,羌活 川芎
101,人参 补骨脂
102,肉桂 附子
103,肉桂 麻黄
104,石菖蒲 肉桂
105,小茴香 草乌
106,杜仲 补骨脂
107,五味子 杜仲
108,菟丝子 杜仲
109,菟丝子 巴戟天
110,五味子 菟丝子
111,菟丝子 枸杞子
112,吴茱萸 桂枝
113,附子 当归
114,吴茱萸 人参
115,吴茱萸 茯苓
116,吴茱萸 花椒
117,吴茱萸 当归
118,五味子 吴茱萸
119,桂枝 附子
120,桂枝 干姜
121,薤白 桂枝
122,黄芪 桂枝
123,麻黄 附子
124,细辛 吴茱萸
125,小茴香 花椒
126,细辛 附子
127,小茴香 肉桂
128,防风 薄荷
129,葛根 防风
130,荆芥 葛根
131,甘草 柴胡
132,荆芥 薄荷
133,黄连 大黄
134,栀子 黄芩
135,黄柏 知母
136,黄连 升麻
137,白茅根 芦根
138,栀子 龙胆
139,龙胆 黄连
140,龙胆 苦参
141,木通 连翘
142,木通 黄连
143,黄连 黄柏
144,栀子 大黄
145,栀子 黄连
146,黄芩 黄连
147,黄连 胡黄连
148,夏枯草 金银花
149,蒲公英 金银花
150,金银花 甘草
151,甘草 板蓝根
152,紫草 板蓝根
153,紫花地丁 菊花
154,升麻 射干
155,菊花 甘草
156,大黄 白芷
157,金银花 大黄
158,黄连 大青叶
159,夏枯草 甘草
160,升麻 黄芩
161,黄芩 大黄
162,玄参 麦冬
163,玄参 石斛
164,玄参 生地黄
165,生地黄 大青叶
166,生地黄 地骨皮
167,麦冬 黄连
168,生地黄 黄连
169,紫草 钩藤
170,黄柏 苍术
171,黄柏 独活
172,黄连 厚朴
173,地榆 苍术
174,苦参 黄连
175,苦参 黄柏
176,香附 紫苏梗
177,檀香 香附
178,半夏 陈皮
179,陈皮 木香
180,艾叶 香附
181,当归 香附
182,陈皮 生姜
183,香附 延胡索
184,川楝子 香附
185,陈皮 桑白皮
186,陈皮 竹茹
187,白芍 香附
188,瓜蒌 薤白
189,陈皮 青皮
190,川楝子 小茴香
191,木香 香附
192,乌药 香附
193,川楝子 延胡索
194,木香 乌药
195,沉香 木香
196,沉香 乌药
197,郁金 枳壳
198,沉香 丁香
199,大黄 木香
200,槟榔 木香
201,黄连 香附
202,沉香 香附
203,木瓜 木香
204,莱菔子 木香
205,香附 枳壳
206,木香 枳壳
207,砂仁 香橼
208,陈皮 枳壳
209,赤芍 香附
210,蒲黄 香附
211,天南星 香附
212,天南星 枳壳
213,瓜蒌 枳壳
214,乳香 枳壳
215,川芎 枳壳
216,生地黄 枳壳
217,天冬 乌药
218,附子 木香
219,槟榔 陈皮
220,茯苓 木香
221,夏枯草 香附
222,大黄 香附
223,黄连 木香
224,苦参 木香
225,黄连 枳壳
226,苦参 枳壳
227,黄芩 枳壳
228,陈皮 砂仁
229,陈皮 升麻
230,桔梗 枳壳
231,柴胡 青皮
232,沉香 小茴香
233,丹参 檀香
234,川芎 香附
235,陈皮 番泻叶
236,白术 陈皮
237,丹参 香附
238,苍术 陈皮
239,黄柏 薤白
240,巴豆 防风
241,丁公藤 槲寄生
242,骨碎补 辣椒
243,菝葜 覆盆子
244,浮萍 昆布
245,石菖蒲 石韦
246,半夏 土茯苓
247,胡椒 野木瓜
248,穿山龙 菟丝子
249,姜黄 老鹳草
250,白鲜皮 龙眼肉
251,独一味 茜草
252,罂粟壳 棕榈
253,淫羊藿 肿节风
254,筋骨草 石斛
255,巴戟天 合欢皮
256,青葙子 夏枯草
257,木瓜 拳参
258,石韦 土茯苓
259,苍术 水飞蓟
260,萹蓄 辣椒
261,芦荟 郁金
262,合欢皮 忍冬藤
263,芥子 小茴香
264,王不留行 辛夷
265,五味子 野菊花
266,赤小豆 夏枯草
267,川牛膝 冬瓜皮
268,莲子 五味子
269,百合 筋骨草
270,槐角 远志
271,蒺藜 莲子
272,丁公藤 葛根
273,大血藤 苦玄参
274,半边莲 狼毒
275,川乌 榼藤子
276,白芷 羌活
277,川牛膝 竹茹
278,黄精 紫菀
279,金银花 明党参
280,桃仁 香薷
281,花椒 山药
282,忍冬藤 竹茹
283,冬瓜皮 升麻
284,穿山龙 麦芽
285,甘草 筋骨草
286,川乌 防己
287,萹蓄 山慈菇
288,蒲黄 夏枯草
289,百合 莲子
290,筋骨草 苦地丁
291,干姜 夏枯草
292,连钱草 细辛
293,海风藤 海金沙
294,款冬花 香加皮
295,独活 吴茱萸
296,诃子 紫苏叶
297,薄荷 老鹳草
298,蓖麻子 青蒿
299,草果 一枝黄花
300,车前草 麦芽
301,金银花 五加皮
302,石韦 水飞蓟
303,紫苏梗 香附
304,香附 檀香
305,陈皮 半夏
306,木香 陈皮
307,香附 艾叶
308,香附 当归
309,生姜 陈皮
310,延胡索 香附
311,香附 川楝子
312,桑白皮 陈皮
313,竹茹 陈皮
314,香附 白芍
315,薤白 瓜蒌
316,青皮 陈皮
317,小茴香 川楝子
318,香附 木香
319,香附 乌药
320,延胡索 川楝子
321,乌药 木香
322,木香 沉香
323,乌药 沉香
324,枳壳 郁金
325,丁香 沉香
326,木香 大黄
327,木香 槟榔
328,香附 黄连
329,香附 沉香
330,木香 木瓜
331,木香 莱菔子
332,枳壳 香附
333,枳壳 木香
334,香橼 砂仁
335,枳壳 陈皮
336,香附 赤芍
337,香附 蒲黄
338,香附 天南星
339,枳壳 天南星
340,枳壳 瓜蒌
341,枳壳 乳香
342,枳壳 川芎
343,枳壳 生地黄
344,乌药 天冬
345,木香 附子
346,陈皮 槟榔
347,木香 茯苓
348,香附 夏枯草
349,香附 大黄
350,木香 黄连
351,木香 苦参
352,枳壳 黄连
353,枳壳 苦参
354,枳壳 黄芩
355,砂仁 陈皮
356,升麻 陈皮
357,枳壳 桔梗
358,青皮 柴胡
359,小茴香 沉香
360,檀香 丹参
361,香附 川芎
362,番泻叶 陈皮
363,陈皮 白术
364,香附 丹参
365,陈皮 苍术
366,薤白 黄柏
367,防风 巴豆
368,槲寄生 丁公藤
369,辣椒 骨碎补
370,覆盆子 菝葜
371,昆布 浮萍
372,石韦 石菖蒲
373,土茯苓 半夏
374,野木瓜 胡椒
375,菟丝子 穿山龙
376,老鹳草 姜黄
377,龙眼肉 白鲜皮
378,茜草 独一味
379,棕榈 罂粟壳
380,肿节风 淫羊藿
381,石斛 筋骨草
382,合欢皮 巴戟天
383,夏枯草 青葙子
384,拳参 木瓜
385,土茯苓 石韦
386,水飞蓟 苍术
387,辣椒 萹蓄
388,郁金 芦荟
389,忍冬藤 合欢皮
390,小茴香 芥子
391,辛夷 王不留行
392,野菊花 五味子
393,夏枯草 赤小豆
394,冬瓜皮 川牛膝
395,五味子 莲子
396,筋骨草 百合
397,远志 槐角
398,莲子 蒺藜
399,葛根 丁公藤
400,苦玄参 大血藤
401,狼毒 半边莲
402,榼藤子 川乌
403,羌活 白芷
404,竹茹 川牛膝
405,紫菀 黄精
406,明党参 金银花
407,香薷 桃仁
408,山药 花椒
409,竹茹 忍冬藤
410,升麻 冬瓜皮
411,麦芽 穿山龙
412,筋骨草 甘草
413,防己 川乌
414,山慈菇 萹蓄
415,夏枯草 蒲黄
416,莲子 百合
417,苦地丁 筋骨草
418,夏枯草 干姜
419,细辛 连钱草
420,海金沙 海风藤
421,香加皮 款冬花
422,吴茱萸 独活
423,紫苏叶 诃子
424,老鹳草 薄荷
425,青蒿 蓖麻子
426,一枝黄花 草果
427,麦芽 车前草
428,五加皮 金银花
429,水飞蓟 石韦
430,莪术 三棱
431,莪术 延胡索
432,红花 乳香
433,红花 苏木
434,乳香 皂角刺
435,牛膝 益母草
436,川芎 槐角
437,川芎 当归
438,川芎 黄芪
439,川芎 蔓荆子
440,牛膝 生地黄
441,莪术 附子
442,桃仁 葶苈子
443,川芎 生地黄
444,牛膝 蒲公英
445,荷叶 红花
446,大黄 血竭
447,蒲黄 血竭
448,大黄 三棱
449,香附 益母草
450,当归 益母草
451,生地黄 益母草
452,小蓟 益母草
453,八角茴香 桃仁
454,瓜蒌 乳香
455,当归 郁金
456,人参 苏木
457,蒲黄 郁金
458,荆芥 桃仁
459,沉香 乳香
460,何首乌 牛膝
461,防己 泽兰
462,草乌 牛膝
463,干姜 桃仁
464,大黄 桃仁
465,大黄 郁金
466,桂枝 姜黄
467,丹参 葛根
468,当归 桃仁
469,川芎 乌药
470,川芎 丹参
471,刀豆 香橼
472,安息香 香附
473,巴豆 黄山药
474,白及 老鹳草
475,虎杖 茜草
476,葶苈子 延胡索
477,枳壳 紫苏叶
478,刀豆 海风藤
479,灯心草 芦荟
480,茯苓 辛夷
481,冬瓜皮 薏苡仁
482,佛手 金银花
483,三棱 莪术
484,延胡索 莪术
485,乳香 红花
486,苏木 红花
487,皂角刺 乳香
488,益母草 牛膝
489,槐角 川芎
490,当归 川芎
491,黄芪 川芎
492,蔓荆子 川芎
