ID of herb pairs,herb pairs
0,莪术 三棱
1,莪术 延胡索
2,红花 乳香
3,红花 苏木
4,乳香 皂角刺
5,牛膝 益母草
6,川芎 香附
7,川芎 槐角
8,川芎 当归
9,川芎 黄芪
10,川芎 羌活
11,川芎 蔓荆子
12,乳香 枳壳
13,川芎 枳壳
14,牛膝 生地黄
15,莪术 附子
16,桃仁 葶苈子
17,川芎 生地黄
18,牛膝 蒲公英
19,荷叶 红花
20,大黄 血竭
21,蒲黄 血竭
22,大黄 三棱
23,香附 益母草
24,当归 益母草
25,生地黄 益母草
26,小蓟 益母草
27,八角茴香 桃仁
28,瓜蒌 乳香
29,当归 郁金
30,人参 苏木
31,蒲黄 郁金
32,荆芥 桃仁
33,沉香 乳香
34,何首乌 牛膝
35,防己 泽兰
36,草乌 牛膝
37,干姜 桃仁
38,大黄 桃仁
39,大黄 郁金
40,桂枝 姜黄
41,丹参 葛根
42,丹参 香附
43,当归 桃仁
44,川芎 乌药
45,川芎 丹参
46,车前草 麦芽
47,金银花 五加皮
48,石韦 水飞蓟
49,巴豆 防风
50,丁公藤 槲寄生
51,骨碎补 辣椒
52,菝葜 覆盆子
53,浮萍 昆布
54,石菖蒲 石韦
55,刀豆 香橼
56,安息香 香附
57,半夏 土茯苓
58,胡椒 野木瓜
59,巴豆 黄山药
60,穿山龙 菟丝子
61,白及 老鹳草
62,白鲜皮 龙眼肉
63,虎杖 茜草
64,罂粟壳 棕榈
65,淫羊藿 肿节风
66,筋骨草 石斛
67,巴戟天 合欢皮
68,青葙子 夏枯草
69,葶苈子 延胡索
70,木瓜 拳参
71,枳壳 紫苏叶
72,刀豆 海风藤
73,石韦 土茯苓
74,苍术 水飞蓟
75,萹蓄 辣椒
76,灯心草 芦荟
77,合欢皮 忍冬藤
78,芥子 小茴香
79,茯苓 辛夷
80,五味子 野菊花
81,赤小豆 夏枯草
82,冬瓜皮 薏苡仁
83,莲子 五味子
84,百合 筋骨草
85,槐角 远志
86,蒺藜 莲子
87,丁公藤 葛根
88,大血藤 苦玄参
89,半边莲 狼毒
90,川乌 榼藤子
91,佛手 金银花
92,白芷 羌活
93,川牛膝 竹茹
94,三棱 莪术
95,延胡索 莪术
96,乳香 红花
97,苏木 红花
98,皂角刺 乳香
99,益母草 牛膝
100,香附 川芎
101,槐角 川芎
102,当归 川芎
103,黄芪 川芎
104,羌活 川芎
105,蔓荆子 川芎
106,枳壳 乳香
107,枳壳 川芎
108,生地黄 牛膝
109,附子 莪术
110,葶苈子 桃仁
111,生地黄 川芎
112,蒲公英 牛膝
113,红花 荷叶
114,血竭 大黄
115,血竭 蒲黄
116,三棱 大黄
117,益母草 香附
118,益母草 当归
119,益母草 生地黄
120,益母草 小蓟
121,桃仁 八角茴香
122,乳香 瓜蒌
123,郁金 当归
124,苏木 人参
125,郁金 蒲黄
126,桃仁 荆芥
127,乳香 沉香
128,牛膝 何首乌
129,泽兰 防己
130,牛膝 草乌
131,桃仁 干姜
132,桃仁 大黄
133,郁金 大黄
134,姜黄 桂枝
135,葛根 丹参
136,香附 丹参
137,桃仁 当归
138,乌药 川芎
139,丹参 川芎
140,麦芽 车前草
141,五加皮 金银花
142,水飞蓟 石韦
143,防风 巴豆
144,槲寄生 丁公藤
145,辣椒 骨碎补
146,覆盆子 菝葜
147,昆布 浮萍
148,石韦 石菖蒲
149,香橼 刀豆
150,香附 安息香
151,土茯苓 半夏
152,野木瓜 胡椒
153,黄山药 巴豆
154,菟丝子 穿山龙
155,老鹳草 白及
156,龙眼肉 白鲜皮
157,茜草 虎杖
158,棕榈 罂粟壳
159,肿节风 淫羊藿
160,石斛 筋骨草
161,合欢皮 巴戟天
162,夏枯草 青葙子
163,延胡索 葶苈子
164,拳参 木瓜
165,紫苏叶 枳壳
166,海风藤 刀豆
167,土茯苓 石韦
168,水飞蓟 苍术
169,辣椒 萹蓄
170,芦荟 灯心草
171,忍冬藤 合欢皮
172,小茴香 芥子
173,辛夷 茯苓
174,野菊花 五味子
175,夏枯草 赤小豆
176,薏苡仁 冬瓜皮
177,五味子 莲子
178,筋骨草 百合
179,远志 槐角
180,莲子 蒺藜
181,葛根 丁公藤
182,苦玄参 大血藤
183,狼毒 半边莲
184,榼藤子 川乌
185,金银花 佛手
186,羌活 白芷
187,竹茹 川牛膝
