ID of herb pairs,herb pairs
0,苦杏仁 麻黄
1,草豆蔻 吴茱萸
2,甘草 干姜
3,甘草 桂枝
4,白术 人参
5,黄芪 人参
6,桂枝 麻黄
7,附子 干姜
8,杜仲 续断
9,当归 肉桂
10,白术 肉桂
11,附子 生姜
12,川芎 羌活
13,补骨脂 人参
14,附子 肉桂
15,麻黄 肉桂
16,肉桂 石菖蒲
17,草乌 小茴香
18,补骨脂 杜仲
19,杜仲 五味子
20,杜仲 菟丝子
21,巴戟天 菟丝子
22,菟丝子 五味子
23,枸杞子 菟丝子
24,桂枝 吴茱萸
25,当归 附子
26,人参 吴茱萸
27,茯苓 吴茱萸
28,花椒 吴茱萸
29,当归 吴茱萸
30,吴茱萸 五味子
31,附子 桂枝
32,干姜 桂枝
33,桂枝 薤白
34,桂枝 黄芪
35,附子 麻黄
36,吴茱萸 细辛
37,花椒 小茴香
38,附子 细辛
39,肉桂 小茴香
40,薄荷 防风
41,防风 葛根
42,葛根 荆芥
43,柴胡 甘草
44,薄荷 荆芥
45,大黄 黄连
46,黄芩 栀子
47,知母 黄柏
48,升麻 黄连
49,芦根 白茅根
50,龙胆 栀子
51,黄连 龙胆
52,苦参 龙胆
53,连翘 木通
54,黄连 木通
55,黄柏 黄连
56,大黄 栀子
57,黄连 栀子
58,黄连 黄芩
59,胡黄连 黄连
60,金银花 夏枯草
61,金银花 蒲公英
62,甘草 金银花
63,板蓝根 甘草
64,板蓝根 紫草
65,菊花 紫花地丁
66,射干 升麻
67,甘草 菊花
68,白芷 大黄
69,大黄 金银花
70,大青叶 黄连
71,甘草 夏枯草
72,黄芩 升麻
73,大黄 黄芩
74,麦冬 玄参
75,石斛 玄参
76,生地黄 玄参
77,大青叶 生地黄
78,地骨皮 生地黄
79,黄连 麦冬
80,黄连 生地黄
81,钩藤 紫草
82,苍术 黄柏
83,独活 黄柏
84,厚朴 黄连
85,苍术 地榆
86,黄连 苦参
87,黄柏 苦参
88,麻黄 苦杏仁
89,吴茱萸 草豆蔻
90,干姜 甘草
91,桂枝 甘草
92,人参 白术
93,人参 黄芪
94,麻黄 桂枝
95,干姜 附子
96,续断 杜仲
97,肉桂 当归
98,肉桂 白术
99,生姜 附子
100,羌活 川芎
101,人参 补骨脂
102,肉桂 附子
103,肉桂 麻黄
104,石菖蒲 肉桂
105,小茴香 草乌
106,杜仲 补骨脂
107,五味子 杜仲
108,菟丝子 杜仲
109,菟丝子 巴戟天
110,五味子 菟丝子
111,菟丝子 枸杞子
112,吴茱萸 桂枝
113,附子 当归
114,吴茱萸 人参
115,吴茱萸 茯苓
116,吴茱萸 花椒
117,吴茱萸 当归
118,五味子 吴茱萸
119,桂枝 附子
120,桂枝 干姜
121,薤白 桂枝
122,黄芪 桂枝
123,麻黄 附子
124,细辛 吴茱萸
125,小茴香 花椒
126,细辛 附子
127,小茴香 肉桂
128,防风 薄荷
129,葛根 防风
130,荆芥 葛根
131,甘草 柴胡
132,荆芥 薄荷
133,黄连 大黄
134,栀子 黄芩
135,黄柏 知母
136,黄连 升麻
137,白茅根 芦根
138,栀子 龙胆
139,龙胆 黄连
140,龙胆 苦参
141,木通 连翘
142,木通 黄连
143,黄连 黄柏
144,栀子 大黄
145,栀子 黄连
146,黄芩 黄连
147,黄连 胡黄连
148,夏枯草 金银花
149,蒲公英 金银花
150,金银花 甘草
151,甘草 板蓝根
152,紫草 板蓝根
153,紫花地丁 菊花
154,升麻 射干
155,菊花 甘草
156,大黄 白芷
157,金银花 大黄
158,黄连 大青叶
159,夏枯草 甘草
160,升麻 黄芩
161,黄芩 大黄
162,玄参 麦冬
163,玄参 石斛
164,玄参 生地黄
165,生地黄 大青叶
166,生地黄 地骨皮
167,麦冬 黄连
168,生地黄 黄连
169,紫草 钩藤
170,黄柏 苍术
171,黄柏 独活
172,黄连 厚朴
173,地榆 苍术
174,苦参 黄连
175,苦参 黄柏
