ID of herb pairs,herb pairs
0,苦杏仁 麻黄
1,草豆蔻 吴茱萸
2,甘草 干姜
3,甘草 桂枝
4,白术 人参
5,黄芪 人参
6,桂枝 麻黄
7,附子 干姜
8,杜仲 续断
9,当归 肉桂
10,白术 肉桂
11,附子 生姜
12,川芎 羌活
13,补骨脂 人参
14,附子 肉桂
15,麻黄 肉桂
16,肉桂 石菖蒲
17,草乌 小茴香
18,补骨脂 杜仲
19,杜仲 五味子
20,杜仲 菟丝子
21,巴戟天 菟丝子
22,菟丝子 五味子
23,枸杞子 菟丝子
24,桂枝 吴茱萸
25,当归 附子
26,人参 吴茱萸
27,茯苓 吴茱萸
28,花椒 吴茱萸
29,当归 吴茱萸
30,吴茱萸 五味子
31,附子 桂枝
32,干姜 桂枝
33,桂枝 薤白
34,桂枝 黄芪
35,附子 麻黄
36,吴茱萸 细辛
37,花椒 小茴香
38,附子 细辛
39,肉桂 小茴香
40,薄荷 荆芥
41,大黄 黄连
42,黄芩 栀子
43,知母 黄柏
44,升麻 黄连
45,芦根 白茅根
46,龙胆 栀子
47,黄连 龙胆
48,苦参 龙胆
49,连翘 木通
50,黄连 木通
51,黄柏 黄连
52,大黄 栀子
53,黄连 栀子
54,黄连 黄芩
55,胡黄连 黄连
56,金银花 夏枯草
57,金银花 蒲公英
58,板蓝根 紫草
59,菊花 紫花地丁
60,射干 升麻
61,白芷 大黄
62,大黄 金银花
63,大青叶 黄连
64,甘草 夏枯草
65,黄芩 升麻
66,大黄 黄芩
67,麦冬 玄参
68,石斛 玄参
69,生地黄 玄参
70,大青叶 生地黄
71,地骨皮 生地黄
72,黄连 麦冬
73,黄连 生地黄
74,钩藤 紫草
75,苍术 黄柏
76,独活 黄柏
77,厚朴 黄连
78,苍术 地榆
79,黄连 苦参
80,黄柏 苦参
81,麻黄 苦杏仁
82,吴茱萸 草豆蔻
83,干姜 甘草
84,桂枝 甘草
85,人参 白术
86,人参 黄芪
87,麻黄 桂枝
88,干姜 附子
89,续断 杜仲
90,肉桂 当归
91,肉桂 白术
92,生姜 附子
93,羌活 川芎
94,人参 补骨脂
95,肉桂 附子
96,肉桂 麻黄
97,石菖蒲 肉桂
98,小茴香 草乌
99,杜仲 补骨脂
100,五味子 杜仲
101,菟丝子 杜仲
102,菟丝子 巴戟天
103,五味子 菟丝子
104,菟丝子 枸杞子
105,吴茱萸 桂枝
106,附子 当归
107,吴茱萸 人参
108,吴茱萸 茯苓
109,吴茱萸 花椒
110,吴茱萸 当归
111,五味子 吴茱萸
112,桂枝 附子
113,桂枝 干姜
114,薤白 桂枝
115,黄芪 桂枝
116,麻黄 附子
117,细辛 吴茱萸
118,小茴香 花椒
119,细辛 附子
120,小茴香 肉桂
121,荆芥 薄荷
122,黄连 大黄
123,栀子 黄芩
124,黄柏 知母
125,黄连 升麻
126,白茅根 芦根
127,栀子 龙胆
128,龙胆 黄连
129,龙胆 苦参
130,木通 连翘
131,木通 黄连
132,黄连 黄柏
133,栀子 大黄
134,栀子 黄连
135,黄芩 黄连
136,黄连 胡黄连
137,夏枯草 金银花
138,蒲公英 金银花
139,紫草 板蓝根
140,紫花地丁 菊花
141,升麻 射干
142,大黄 白芷
143,金银花 大黄
144,黄连 大青叶
145,夏枯草 甘草
146,升麻 黄芩
147,黄芩 大黄
148,玄参 麦冬
149,玄参 石斛
150,玄参 生地黄
151,生地黄 大青叶
152,生地黄 地骨皮
153,麦冬 黄连
154,生地黄 黄连
155,紫草 钩藤
156,黄柏 苍术
157,黄柏 独活
158,黄连 厚朴
159,地榆 苍术
160,苦参 黄连
161,苦参 黄柏
